Entity,Code,Year,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Depressive disorders,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Schizophrenia,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Bipolar disorder,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Eating disorders,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Anxiety disorders
African Region (WHO),,2007,813.46387,136.28596,123.347916,21.383629,329.77505
African Region (WHO),,2008,806.7373,136.44983,123.435585,21.596321,331.29373
African Region (WHO),,2009,800.0522,136.52705,123.5169,21.781809,332.63538
African Region (WHO),,2010,794.752,136.65668,123.57414,22.001614,333.32166
African Region (WHO),,2011,789.9784,136.7575,123.582306,22.214363,333.56436
African Region (WHO),,2012,784.7589,136.9345,123.60925,22.483326,333.83914
African Region (WHO),,2013,779.8364,137.172,123.606964,22.766666,334.15808
African Region (WHO),,2014,776.3288,137.35637,123.596535,23.033365,334.46353
African Region (WHO),,2015,775.25635,137.44264,123.59214,23.270254,334.79727
African Region (WHO),,2016,776.6644,137.57875,123.55772,23.541826,335.50223
African Region (WHO),,2017,778.1041,137.73848,123.53566,23.761179,336.14566
African Region (WHO),,2018,778.90356,137.91843,123.56626,23.8502,335.9598
African Region (WHO),,2019,779.7414,138.14122,123.5525,23.904,335.29965
Albania,ALB,1990,369.02365,180.83556,117.19738,22.287247,349.98602
Albania,ALB,1991,369.31195,180.65654,117.23529,21.89292,350.4649
Albania,ALB,1992,369.75266,180.36005,117.20572,21.553108,350.95123
Albania,ALB,1993,370.46112,180.5084,117.2401,21.315462,351.46674
Albania,ALB,1994,371.30643,180.3601,117.28473,21.216326,352.0902
Albania,ALB,1995,372.19324,180.46906,117.38238,21.198082,352.57257
Albania,ALB,1996,373.8445,180.33566,117.38419,21.26843,353.05405
Albania,ALB,1997,375.735,180.9606,117.37919,21.36316,353.08078
Albania,ALB,1998,377.50107,180.97083,117.38581,21.451178,353.16174
Albania,ALB,1999,380.7395,181.49184,117.54923,21.787832,354.1881
Albania,ALB,2000,383.35883,181.26312,117.57915,22.061806,355.2057
Albania,ALB,2001,384.6248,181.51672,117.55678,22.39771,355.6865
Albania,ALB,2002,386.306,181.81792,117.70125,22.733912,355.9126
Albania,ALB,2003,387.58923,181.88527,117.47851,23.256767,356.2607
Albania,ALB,2004,388.8159,181.62915,117.75262,23.666367,356.27
Albania,ALB,2005,388.85956,182.34738,117.71427,24.13172,356.89362
Albania,ALB,2006,388.4129,182.1656,117.84567,24.518219,357.10513
Albania,ALB,2007,387.04883,182.71687,117.85443,25.022646,357.84348
Albania,ALB,2008,385.61835,183.4731,117.799965,25.476854,359.19666
Albania,ALB,2009,383.92722,183.94325,117.8656,25.882845,359.95044
Albania,ALB,2010,383.14902,184.12775,117.87323,26.319311,360.68094
Albania,ALB,2011,382.99704,184.65245,117.89652,26.698975,361.69565
Albania,ALB,2012,382.8175,184.85753,117.91124,27.027565,363.28516
Albania,ALB,2013,382.84128,185.06267,117.8233,27.423956,364.3271
Albania,ALB,2014,383.02032,185.33556,117.85818,27.760595,366.39825
Albania,ALB,2015,382.9376,185.51762,117.71888,28.09231,366.80685
Albania,ALB,2016,382.70203,185.57475,117.6245,28.437542,366.241
Albania,ALB,2017,382.95386,185.37047,117.737915,28.672338,365.95975
Albania,ALB,2018,384.17953,185.36105,117.761635,28.972872,366.4672
Albania,ALB,2019,386.41925,185.53891,117.631195,29.221224,368.115
Algeria,DZA,1990,763.00165,160.96611,163.8341,41.365974,445.06982
Algeria,DZA,1991,759.72253,160.74483,163.92192,40.93132,445.156
Algeria,DZA,1992,756.2488,160.41272,163.94162,40.46013,445.17197
Algeria,DZA,1993,754.1418,160.20842,163.84319,40.068848,445.30508
Algeria,DZA,1994,752.28564,160.29286,163.90677,39.783154,445.47592
Algeria,DZA,1995,750.99445,160.22092,163.86661,39.559963,445.68146
Algeria,DZA,1996,749.54224,160.0661,163.93393,39.58238,445.60187
Algeria,DZA,1997,748.5751,160.3101,164.04039,39.390182,445.89304
Algeria,DZA,1998,747.38525,160.0447,164.08981,39.196007,446.22012
Algeria,DZA,1999,746.67816,160.14261,163.99919,39.160973,446.1974
Algeria,DZA,2000,745.6598,159.96208,164.12456,39.199177,446.51038
Algeria,DZA,2001,744.34705,160.19058,163.97765,39.302742,446.54797
Algeria,DZA,2002,742.25653,160.29102,164.07349,39.651974,446.98288
Algeria,DZA,2003,740.2308,160.28494,163.78801,40.145924,447.39404
Algeria,DZA,2004,737.96625,160.67133,163.85547,40.57292,447.8107
Algeria,DZA,2005,735.59106,160.53091,164.06604,41.03043,447.9435
Algeria,DZA,2006,733.0727,160.27365,163.9962,41.29852,448.16882
Algeria,DZA,2007,729.1238,160.11818,163.89052,41.743423,448.33047
Algeria,DZA,2008,724.836,160.17793,163.90256,42.11582,448.38232
Algeria,DZA,2009,721.4803,159.92377,163.99377,42.30906,448.8984
Algeria,DZA,2010,720.2714,159.82906,163.97874,42.704582,449.27042
Algeria,DZA,2011,720.5551,159.73334,163.97612,42.902992,449.73996
Algeria,DZA,2012,721.827,160.22154,163.97821,43.199272,450.9143
Algeria,DZA,2013,723.6595,160.22733,163.89444,43.360466,452.64438
Algeria,DZA,2014,725.5452,160.31621,163.81506,43.641144,453.8528
Algeria,DZA,2015,725.65045,160.17842,163.95367,43.940647,454.7196
Algeria,DZA,2016,724.2635,160.05568,163.73029,44.401974,455.2876
Algeria,DZA,2017,722.7795,159.84593,163.63782,44.82481,455.96344
Algeria,DZA,2018,727.3301,160.01935,163.83374,44.887913,457.0603
Algeria,DZA,2019,736.5149,160.01306,163.71942,44.83972,458.80023
American Samoa,ASM,1990,402.7207,200.46974,60.006634,29.998121,375.35825
American Samoa,ASM,1991,401.10394,200.39278,59.98847,29.673788,375.16486
American Samoa,ASM,1992,399.69403,200.18669,59.962463,29.282616,375.08713
American Samoa,ASM,1993,398.5833,200.16287,59.880814,28.98414,375.13516
American Samoa,ASM,1994,397.07477,199.62686,59.883053,28.719519,375.31628
American Samoa,ASM,1995,396.33887,199.64227,59.889656,28.549158,375.4143
American Samoa,ASM,1996,395.49844,199.0644,59.88401,28.311731,375.61496
American Samoa,ASM,1997,394.54437,197.9129,59.805748,28.044067,376.30844
American Samoa,ASM,1998,393.4698,196.89981,59.7767,27.82653,376.90503
American Samoa,ASM,1999,392.79382,195.8968,59.732407,27.696436,376.9092
American Samoa,ASM,2000,392.16385,195.30647,59.68992,27.595192,377.1465
American Samoa,ASM,2001,391.67404,195.67526,59.714394,27.589909,377.00897
American Samoa,ASM,2002,391.099,196.12814,59.797195,27.589745,376.36365
American Samoa,ASM,2003,390.6798,196.91484,59.796295,27.64912,375.686
American Samoa,ASM,2004,390.08588,197.52023,59.82494,27.706604,375.4237
American Samoa,ASM,2005,389.6056,197.79839,59.8116,27.752998,375.03363
American Samoa,ASM,2006,388.9857,197.64807,59.85998,27.69681,375.82098
American Samoa,ASM,2007,388.0965,197.50359,59.818417,27.608997,376.64673
American Samoa,ASM,2008,387.19568,197.06377,59.846672,27.540287,378.0258
American Samoa,ASM,2009,386.3723,196.36858,59.840813,27.424852,378.87033
American Samoa,ASM,2010,385.98523,195.98036,59.837784,27.365881,379.99387
American Samoa,ASM,2011,386.2149,195.78238,59.831913,27.394974,380.79645
American Samoa,ASM,2012,386.7411,195.57018,59.69735,27.451984,381.81506
American Samoa,ASM,2013,387.38577,195.50826,59.821064,27.420185,382.69882
American Samoa,ASM,2014,388.38812,195.03708,59.68191,27.46906,383.72913
American Samoa,ASM,2015,388.46237,194.66423,59.74819,27.503666,383.92587
American Samoa,ASM,2016,387.91928,194.63295,59.833004,27.452776,382.94135
American Samoa,ASM,2017,387.78854,194.469,59.782265,27.426666,381.78473
American Samoa,ASM,2018,389.73053,194.02359,59.740013,27.369818,382.4565
American Samoa,ASM,2019,393.94205,192.81041,59.720222,27.35564,384.18695
Andorra,AND,1990,640.43677,185.83232,199.93535,100.94875,512.13257
Andorra,AND,1991,637.88934,185.49242,199.81322,99.95859,512.5697
Andorra,AND,1992,636.24426,185.46349,199.79083,99.808716,513.726
Andorra,AND,1993,634.0236,185.21155,199.66966,99.50214,514.2843
Andorra,AND,1994,633.0492,184.72255,199.98235,99.829666,515.45306
Andorra,AND,1995,632.5085,184.44234,200.12701,100.33831,516.6588
Andorra,AND,1996,631.81586,184.27037,200.30685,100.92569,517.6603
Andorra,AND,1997,630.192,183.99619,200.1929,101.297775,517.3748
Andorra,AND,1998,628.60986,183.88954,200.50304,101.90248,517.8221
Andorra,AND,1999,627.0025,183.44669,200.53365,102.47478,518.51324
Andorra,AND,2000,626.0402,183.02698,200.6242,103.286156,518.8272
Andorra,AND,2001,625.37946,183.32181,200.68404,104.652214,519.6419
Andorra,AND,2002,623.33154,183.23602,200.9934,106.26707,520.2503
Andorra,AND,2003,621.2788,183.60625,200.99896,107.89196,520.4505
Andorra,AND,2004,618.4459,183.83658,200.99265,108.91595,520.33136
Andorra,AND,2005,617.2807,184.23965,200.92421,109.493484,520.10876
Andorra,AND,2006,615.32623,184.08022,200.82538,109.66902,519.1811
Andorra,AND,2007,613.6233,183.97737,200.95555,109.871025,518.202
Andorra,AND,2008,611.8465,183.72932,201.10457,110.35645,517.18353
Andorra,AND,2009,610.9626,183.64355,201.05824,110.61692,516.7469
Andorra,AND,2010,610.6402,183.68372,201.13098,110.810936,516.5175
Andorra,AND,2011,613.77893,183.52283,201.63669,111.05602,519.34204
Andorra,AND,2012,615.02136,183.39789,201.7669,110.262054,520.7332
Andorra,AND,2013,616.6909,183.55331,201.91602,109.56263,522.22754
Andorra,AND,2014,617.77734,183.41148,201.67142,108.904945,523.3779
Andorra,AND,2015,618.14264,183.35092,201.63362,108.2541,523.7213
Andorra,AND,2016,617.0084,183.32184,201.60245,108.91002,523.1162
Andorra,AND,2017,616.3245,183.41203,201.47998,109.891785,522.92126
Andorra,AND,2018,619.2185,183.36255,201.44714,110.39416,522.8297
Andorra,AND,2019,626.0286,183.04898,201.29405,111.03082,522.7868
Angola,AGO,1990,1089.2108,135.22118,118.22088,22.972956,373.835
Angola,AGO,1991,1089.2085,134.97768,118.13411,22.654442,374.10208
Angola,AGO,1992,1089.6924,135.04482,118.179405,22.243694,374.59268
Angola,AGO,1993,1089.488,134.84584,118.04432,22.011747,374.688
Angola,AGO,1994,1088.9125,134.51714,118.15924,21.84596,374.7037
Angola,AGO,1995,1088.7916,134.48122,118.10895,21.797703,374.81964
Angola,AGO,1996,1087.5691,134.45528,118.08625,21.73168,375.25412
Angola,AGO,1997,1085.362,134.31033,118.12668,21.700247,375.67633
Angola,AGO,1998,1082.0928,133.71042,118.033585,21.637388,375.9067
Angola,AGO,1999,1079.2198,133.44286,118.0215,21.57773,376.0808
Angola,AGO,2000,1077.0374,133.47922,117.97016,21.599688,376.2379
Angola,AGO,2001,1075.1329,133.56477,117.97682,21.670671,376.56012
Angola,AGO,2002,1071.9094,133.78961,117.92371,21.86113,376.7421
Angola,AGO,2003,1068.3784,134.21078,118.107956,22.139378,377.3173
Angola,AGO,2004,1065.0688,134.5249,118.308784,22.407919,377.65936
Angola,AGO,2005,1062.448,135.10968,118.258545,22.7202,377.82812
Angola,AGO,2006,1059.6682,135.25122,118.35028,23.272406,378.0557
Angola,AGO,2007,1056.285,136.05739,118.48608,23.925028,378.30743
Angola,AGO,2008,1052.2887,136.3144,118.46963,24.645103,378.19864
Angola,AGO,2009,1048.8491,137.04173,118.545525,25.364304,378.2195
Angola,AGO,2010,1047.4736,137.31732,118.723335,25.986362,378.19348
Angola,AGO,2011,1047.0005,137.873,118.51741,26.621162,378.00208
Angola,AGO,2012,1046.506,138.10797,118.77068,27.237904,378.1171
Angola,AGO,2013,1046.4896,138.63173,118.57304,27.807335,377.96988
Angola,AGO,2014,1046.8344,138.62717,118.60692,28.286388,377.59543
Angola,AGO,2015,1047.4429,139.16623,118.64392,28.582224,377.54364
Angola,AGO,2016,1048.2134,139.435,118.77975,28.800285,377.45422
Angola,AGO,2017,1049.6298,139.72162,118.75641,28.887321,377.30847
Angola,AGO,2018,1049.012,139.71912,118.791,28.89916,376.52173
Angola,AGO,2019,1046.8824,139.54544,119.01723,29.0103,374.53
Antigua and Barbuda,ATG,1990,524.82275,182.36891,205.3012,49.97049,410.27838
Antigua and Barbuda,ATG,1991,517.3224,182.47084,205.447,50.571968,409.24405
Antigua and Barbuda,ATG,1992,511.02216,182.83484,205.74751,51.185856,408.52676
Antigua and Barbuda,ATG,1993,506.04956,183.22572,205.77562,51.726364,407.94772
Antigua and Barbuda,ATG,1994,502.61243,183.25128,205.59306,52.25093,407.79544
Antigua and Barbuda,ATG,1995,501.7766,183.19995,205.51051,52.59674,407.64874
Antigua and Barbuda,ATG,1996,502.57434,183.32977,205.61899,52.93406,408.64542
Antigua and Barbuda,ATG,1997,503.92798,183.51965,205.66356,53.177074,409.09927
Antigua and Barbuda,ATG,1998,505.67853,183.71594,205.65001,53.53691,409.76825
Antigua and Barbuda,ATG,1999,507.42017,183.56683,205.8854,53.71276,410.42676
Antigua and Barbuda,ATG,2000,508.23978,183.83144,206.0979,53.89865,410.59375
Antigua and Barbuda,ATG,2001,508.92587,183.52815,205.93759,54.13216,410.5735
Antigua and Barbuda,ATG,2002,509.43454,183.7492,205.78601,54.28649,410.3958
Antigua and Barbuda,ATG,2003,509.83417,183.59195,205.87209,54.52088,409.69366
Antigua and Barbuda,ATG,2004,509.60422,184.00745,205.88698,54.67894,409.55862
Antigua and Barbuda,ATG,2005,508.3032,183.93405,205.67558,55.059975,409.36523
Antigua and Barbuda,ATG,2006,505.30295,184.10739,205.79625,55.45368,409.38843
Antigua and Barbuda,ATG,2007,499.79193,184.43854,205.48666,56.153645,410.04718
Antigua and Barbuda,ATG,2008,493.86603,184.67279,205.48949,56.860126,410.61453
Antigua and Barbuda,ATG,2009,488.70428,184.9623,205.71437,57.35617,411.61545
Antigua and Barbuda,ATG,2010,485.87796,185.02805,205.36142,57.612686,411.65546
Antigua and Barbuda,ATG,2011,487.0866,185.16838,205.25912,57.496323,412.12357
Antigua and Barbuda,ATG,2012,490.26224,184.90457,205.30829,57.205105,412.8932
Antigua and Barbuda,ATG,2013,494.15314,184.69875,205.06235,56.983997,414.29874
Antigua and Barbuda,ATG,2014,497.93796,184.7157,204.93636,56.699432,415.12494
Antigua and Barbuda,ATG,2015,499.85516,184.57585,204.74135,56.533222,415.5082
Antigua and Barbuda,ATG,2016,499.64413,185.02155,204.9136,56.88388,415.07886
Antigua and Barbuda,ATG,2017,500.52585,185.68562,204.80655,57.254288,414.77954
Antigua and Barbuda,ATG,2018,508.18393,185.53166,204.62367,57.503296,414.7035
Antigua and Barbuda,ATG,2019,524.05865,185.28218,204.71199,57.66441,414.30817
Argentina,ARG,1990,456.58658,199.54149,211.86952,60.407494,486.74155
Argentina,ARG,1991,457.5761,199.25613,211.91397,60.788937,486.14066
Argentina,ARG,1992,458.25125,199.43263,211.82477,61.26065,485.97446
Argentina,ARG,1993,458.93344,199.07698,211.67442,61.5895,485.76346
Argentina,ARG,1994,460.04605,199.11513,211.916,62.2786,485.56195
Argentina,ARG,1995,460.42422,199.24022,211.72897,62.594017,485.56973
Argentina,ARG,1996,461.35538,199.13022,211.65108,63.22856,485.71817
Argentina,ARG,1997,461.77563,199.14685,211.60963,64.143,486.52246
Argentina,ARG,1998,462.2409,199.33408,211.81021,64.82447,487.1518
Argentina,ARG,1999,462.83536,199.50618,211.91681,65.32269,488.197
Argentina,ARG,2000,463.02097,199.60133,211.6936,65.60935,488.27878
Argentina,ARG,2001,463.53278,199.46272,213.23659,65.41662,488.09467
Argentina,ARG,2002,464.32233,199.40242,216.27304,65.011215,488.58905
Argentina,ARG,2003,464.8192,199.20424,220.59215,64.56427,488.75143
Argentina,ARG,2004,465.3081,198.92834,223.70457,64.32304,488.60742
Argentina,ARG,2005,465.17334,198.715,224.93425,64.195305,488.57666
Argentina,ARG,2006,461.24457,199.11584,224.85735,64.47244,486.3224
Argentina,ARG,2007,452.67804,199.55737,224.83237,64.952805,481.4046
Argentina,ARG,2008,442.60098,200.23627,225.14325,65.67535,476.04004
Argentina,ARG,2009,434.22983,200.41898,225.11504,66.418045,470.88208
Argentina,ARG,2010,431.09213,200.89648,225.19362,67.14922,469.45428
Argentina,ARG,2011,431.07944,200.68024,225.29973,67.723206,470.0194
Argentina,ARG,2012,431.46622,200.47281,225.20348,68.43911,471.0539
Argentina,ARG,2013,432.08572,200.14348,225.02211,69.16623,472.58798
Argentina,ARG,2014,432.5215,200.2554,225.37956,69.78392,474.22205
Argentina,ARG,2015,432.8426,200.13004,225.21777,70.27374,475.15717
Argentina,ARG,2016,432.68298,200.23053,225.22807,70.711006,476.7063
Argentina,ARG,2017,431.99777,200.47755,225.45479,70.936226,477.75143
Argentina,ARG,2018,431.2117,200.21394,225.24124,70.935486,477.84738
Argentina,ARG,2019,429.61588,199.65488,225.17241,70.74922,477.98843
Armenia,ARM,1990,460.921,178.42891,117.12522,22.653893,297.86804
Armenia,ARM,1991,456.69254,177.93762,117.10386,21.975458,298.20078
Armenia,ARM,1992,453.82782,178.24353,117.2451,21.37802,298.5099
Armenia,ARM,1993,451.8569,178.0003,117.272446,20.816292,298.41626
Armenia,ARM,1994,450.45868,177.84172,117.303955,20.428102,298.69446
Armenia,ARM,1995,449.86914,177.26718,117.36954,20.050022,299.01624
Armenia,ARM,1996,450.64908,177.07173,117.40196,19.868837,299.12088
Armenia,ARM,1997,452.695,176.86859,117.258446,19.563023,299.74854
Armenia,ARM,1998,455.32532,176.6386,117.45772,19.329004,300.4222
Armenia,ARM,1999,458.25244,176.35674,117.42191,19.213755,300.798
Armenia,ARM,2000,460.22656,176.48033,117.427826,19.103136,300.96707
Armenia,ARM,2001,462.22122,176.94356,117.35877,19.34909,301.50986
Armenia,ARM,2002,464.6694,177.23659,117.49831,19.73194,302.04715
Armenia,ARM,2003,467.1667,177.98956,117.48293,20.302195,302.64474
Armenia,ARM,2004,469.33603,178.5069,117.50238,21.016056,303.09256
Armenia,ARM,2005,471.0486,178.94408,117.44554,21.59736,303.2027
Armenia,ARM,2006,472.193,179.28127,117.47782,22.185904,303.06464
Armenia,ARM,2007,472.42117,179.67906,117.62912,22.802713,302.7194
Armenia,ARM,2008,473.1764,180.21678,117.57425,23.440268,302.5825
Armenia,ARM,2009,473.32422,180.36263,117.80486,24.035757,302.31586
Armenia,ARM,2010,474.13153,180.3965,117.70407,24.524618,302.27405
Armenia,ARM,2011,476.1288,180.58548,117.62767,24.959894,302.05814
Armenia,ARM,2012,479.01477,180.94762,117.74582,25.324905,302.2234
Armenia,ARM,2013,482.42477,180.95024,117.56393,25.665447,302.53217
Armenia,ARM,2014,485.2353,181.30446,117.73753,25.950544,302.41595
Armenia,ARM,2015,486.66098,181.74245,117.69755,26.274824,302.40622
Armenia,ARM,2016,486.9039,181.85605,117.620735,26.540794,302.03976
Armenia,ARM,2017,486.7794,182.24768,117.733505,26.744202,301.8546
Armenia,ARM,2018,488.85696,182.17128,117.644905,26.969103,302.2498
Armenia,ARM,2019,492.7479,182.80116,117.56188,27.125288,302.23453
Australia,AUS,1990,799.4736,247.54398,239.77686,152.44766,548.39056
Australia,AUS,1991,805.6753,247.39116,239.85439,153.27223,539.64105
Australia,AUS,1992,811.40607,247.53279,239.99638,153.9348,531.28656
Australia,AUS,1993,816.3045,247.43527,239.99773,154.77351,523.8772
Australia,AUS,1994,820.75977,247.18256,240.08994,155.49324,517.7001
Australia,AUS,1995,825.1395,247.12424,240.03479,156.33276,513.1645
Australia,AUS,1996,826.9485,246.96182,240.00798,157.92091,508.78534
Australia,AUS,1997,825.60284,247.32631,240.10664,160.40288,503.62952
Australia,AUS,1998,824.89764,247.14862,239.93335,163.40237,498.57855
Australia,AUS,1999,824.86096,246.87668,239.98878,166.5392,495.0451
Australia,AUS,2000,828.8952,247.16818,239.75925,169.23448,493.70142
Australia,AUS,2001,838.9999,247.22235,240.03041,173.54915,497.56665
Australia,AUS,2002,854.21747,247.34805,240.42636,180.90173,506.39133
Australia,AUS,2003,869.5085,247.21606,241.12767,189.16678,516.848
Australia,AUS,2004,882.6454,247.16882,241.50981,196.5456,526.03424
Australia,AUS,2005,887.9912,247.29468,241.67258,201.33458,529.9459
Australia,AUS,2006,886.59894,247.28075,241.85693,203.58533,530.7842
Australia,AUS,2007,881.80414,247.14334,241.90405,205.338,532.24396
Australia,AUS,2008,875.1829,247.06953,242.08041,207.39325,534.43933
Australia,AUS,2009,867.9558,247.30707,241.91011,209.06096,535.7137
Australia,AUS,2010,861.55084,247.18317,241.77623,210.47194,536.7294
Australia,AUS,2011,855.70715,247.39197,241.83786,211.51566,535.7316
Australia,AUS,2012,849.4429,247.35786,241.84985,212.72824,533.6545
Australia,AUS,2013,843.356,247.45186,242.07596,213.65855,531.16907
Australia,AUS,2014,836.6398,247.59613,242.07681,214.7255,529.30005
Australia,AUS,2015,830.5761,247.64131,242.06473,215.58752,529.4549
Australia,AUS,2016,811.2164,247.56934,242.12077,216.6022,542.11865
Australia,AUS,2017,794.4536,247.23079,241.81389,217.46898,554.95667
Australia,AUS,2018,794.1424,247.16844,241.75227,218.06725,555.81177
Australia,AUS,2019,798.7173,247.17456,242.07814,218.70439,555.26514
Austria,AUT,1990,628.7109,175.46022,193.62584,88.871414,546.7811
Austria,AUT,1991,626.46814,175.12381,193.45615,90.23644,549.6544
Austria,AUT,1992,623.6259,174.99193,193.4572,91.35018,551.77155
Austria,AUT,1993,620.67487,175.069,193.70822,92.54539,553.60004
Austria,AUT,1994,616.89325,174.98962,193.71104,93.59077,554.7997
Austria,AUT,1995,612.7186,174.94014,193.40508,94.87113,555.2476
Austria,AUT,1996,607.4389,175.15579,193.3151,96.33904,554.6945
Austria,AUT,1997,599.7595,174.96478,193.57776,97.699265,553.5009
Austria,AUT,1998,590.80347,174.68283,193.50728,98.989914,552.60614
Austria,AUT,1999,582.05963,174.90613,193.60509,100.75319,551.50995
Austria,AUT,2000,574.58167,175.1775,193.60516,102.307556,550.92444
Austria,AUT,2001,568.1321,175.13126,193.49759,104.19497,551.6046
Austria,AUT,2002,560.8744,175.29732,193.4343,105.96129,552.4524
Austria,AUT,2003,554.1016,175.16101,193.43579,107.533264,553.7956
Austria,AUT,2004,547.7719,175.06676,193.45848,109.533,555.2718
Austria,AUT,2005,541.9699,175.08224,193.3588,111.13362,556.2977
Austria,AUT,2006,536.08655,175.17024,193.36772,112.8069,558.10016
Austria,AUT,2007,529.2506,175.27927,193.61478,114.65944,560.2106
Austria,AUT,2008,523.1645,175.24217,193.60211,116.41061,563.0421
Austria,AUT,2009,518.6027,175.5401,193.59912,117.777626,565.2379
Austria,AUT,2010,516.17096,175.38814,193.71637,118.88728,566.5521
Austria,AUT,2011,516.33716,175.35916,193.83221,119.68093,567.3534
Austria,AUT,2012,517.7275,175.36292,193.61624,120.61309,568.5986
Austria,AUT,2013,519.63715,175.17996,193.5252,121.301994,569.8331
Austria,AUT,2014,520.8704,174.99341,193.69496,121.71136,570.444
Austria,AUT,2015,521.6855,175.05571,193.52716,121.7693,571.442
Austria,AUT,2016,521.6164,175.4773,193.52446,121.18935,573.33716
Austria,AUT,2017,521.68695,176.27058,193.55139,120.68794,575.6766
Austria,AUT,2018,522.2241,176.3114,193.44577,120.86825,576.07104
Austria,AUT,2019,523.2631,176.50761,193.48299,121.656265,575.83685
Azerbaijan,AZE,1990,447.91684,179.14758,113.602745,26.612993,243.52722
Azerbaijan,AZE,1991,443.0725,178.97719,113.742485,25.874407,243.23627
Azerbaijan,AZE,1992,438.5243,178.65053,113.70051,25.26351,243.05125
Azerbaijan,AZE,1993,435.2042,178.2072,113.64768,24.538021,243.41466
