statefips,countyfips,avghouseholdsize,geography
1,059,2.62,"Franklin County, Alabama"
1,061,2.47,"Geneva County, Alabama"
1,063,2.7,"Greene County, Alabama"
1,065,2.53,"Hale County, Alabama"
1,067,2.47,"Henry County, Alabama"
1,069,2.62,"Houston County, Alabama"
1,071,2.56,"Jackson County, Alabama"
1,073,2.47,"Jefferson County, Alabama"
1,075,2.27,"Lamar County, Alabama"
1,077,2.35,"Lauderdale County, Alabama"
1,079,2.46,"Lawrence County, Alabama"
1,081,2.54,"Lee County, Alabama"
1,083,2.64,"Limestone County, Alabama"
1,085,2.49,"Lowndes County, Alabama"
1,087,2.24,"Macon County, Alabama"
1,089,2.46,"Madison County, Alabama"
1,091,2.42,"Marengo County, Alabama"
1,093,2.34,"Marion County, Alabama"
1,095,2.72,"Marshall County, Alabama"
1,097,2.62,"Mobile County, Alabama"
1,099,2.62,"Monroe County, Alabama"
1,101,2.47,"Montgomery County, Alabama"
1,103,2.55,"Morgan County, Alabama"
1,105,2.7,"Perry County, Alabama"
1,107,2.51,"Pickens County, Alabama"
1,109,2.44,"Pike County, Alabama"
1,111,2.49,"Randolph County, Alabama"
1,113,2.59,"Russell County, Alabama"
1,115,2.62,"St. Clair County, Alabama"
1,117,2.66,"Shelby County, Alabama"
1,119,2.61,"Sumter County, Alabama"
1,121,2.49,"Talladega County, Alabama"
1,123,2.48,"Tallapoosa County, Alabama"
1,125,2.75,"Tuscaloosa County, Alabama"
1,127,2.54,"Walker County, Alabama"
1,129,2.75,"Washington County, Alabama"
1,131,2.86,"Wilcox County, Alabama"
1,133,2.53,"Winston County, Alabama"
5,001,2.39,"Arkansas County, Arkansas"
5,003,2.52,"Ashley County, Arkansas"
5,005,2.23,"Baxter County, Arkansas"
5,007,2.75,"Benton County, Arkansas"
5,009,2.45,"Boone County, Arkansas"
5,011,2.39,"Bradley County, Arkansas"
5,013,2.4,"Calhoun County, Arkansas"
5,015,2.49,"Carroll County, Arkansas"
5,017,2.36,"Chicot County, Arkansas"
5,019,2.28,"Clark County, Arkansas"
5,021,2.31,"Clay County, Arkansas"
5,023,2.5,"Cleburne County, Arkansas"
5,025,2.53,"Cleveland County, Arkansas"
5,027,2.37,"Columbia County, Arkansas"
5,029,2.49,"Conway County, Arkansas"
5,031,2.52,"Craighead County, Arkansas"
5,033,2.58,"Crawford County, Arkansas"
5,035,2.67,"Crittenden County, Arkansas"
5,037,2.49,"Cross County, Arkansas"
5,039,2.26,"Dallas County, Arkansas"
5,041,2.33,"Desha County, Arkansas"
5,043,2.43,"Drew County, Arkansas"
5,045,2.65,"Faulkner County, Arkansas"
5,047,2.58,"Franklin County, Arkansas"
5,049,2.27,"Fulton County, Arkansas"
5,051,2.35,"Garland County, Arkansas"
5,053,2.61,"Grant County, Arkansas"
5,055,2.56,"Greene County, Arkansas"
5,057,2.81,"Hempstead County, Arkansas"
5,059,2.59,"Hot Spring County, Arkansas"
5,061,2.65,"Howard County, Arkansas"
5,063,2.52,"Independence County, Arkansas"
5,065,2.28,"Izard County, Arkansas"
5,067,2.25,"Jackson County, Arkansas"
5,069,2.41,"Jefferson County, Arkansas"
5,071,2.5,"Johnson County, Arkansas"
5,073,2.52,"Lafayette County, Arkansas"
5,075,2.45,"Lawrence County, Arkansas"
5,077,2.34,"Lee County, Arkansas"
5,079,2.43,"Lincoln County, Arkansas"
5,081,2.39,"Little River County, Arkansas"
5,083,2.48,"Logan County, Arkansas"
5,085,2.7,"Lonoke County, Arkansas"
5,087,2.46,"Madison County, Arkansas"
5,089,2.43,"Marion County, Arkansas"
5,091,2.5,"Miller County, Arkansas"
5,093,2.57,"Mississippi County, Arkansas"
5,095,2.27,"Monroe County, Arkansas"
5,097,2.33,"Montgomery County, Arkansas"
5,099,2.48,"Nevada County, Arkansas"
5,101,2.42,"Newton County, Arkansas"
5,103,2.34,"Ouachita County, Arkansas"
5,105,2.62,"Perry County, Arkansas"
5,107,2.48,"Phillips County, Arkansas"
5,109,2.5,"Pike County, Arkansas"
5,111,2.57,"Poinsett County, Arkansas"
5,113,2.56,"Polk County, Arkansas"
5,115,2.62,"Pope County, Arkansas"
5,117,2.16,"Prairie County, Arkansas"
5,119,2.49,"Pulaski County, Arkansas"
5,121,2.36,"Randolph County, Arkansas"
5,123,2.51,"St. Francis County, Arkansas"
5,125,2.66,"Saline County, Arkansas"
5,127,2.66,"Scott County, Arkansas"
5,129,2.48,"Searcy County, Arkansas"
5,131,2.53,"Sebastian County, Arkansas"
5,133,2.81,"Sevier County, Arkansas"
5,135,2.37,"Sharp County, Arkansas"
5,137,2.4,"Stone County, Arkansas"
5,139,2.43,"Union County, Arkansas"
5,141,2.44,"Van Buren County, Arkansas"
5,143,2.55,"Washington County, Arkansas"
5,145,2.55,"White County, Arkansas"
5,147,2.36,"Woodruff County, Arkansas"
5,149,2.8,"Yell County, Arkansas"
4,001,3.67,"Apache County, Arizona"
4,003,2.42,"Cochise County, Arizona"
4,005,2.7,"Coconino County, Arizona"
4,007,2.5,"Gila County, Arizona"
4,009,3.02,"Graham County, Arizona"
4,011,2.78,"Greenlee County, Arizona"
4,012,2.14,"La Paz County, Arizona"
4,013,2.75,"Maricopa County, Arizona"
4,015,2.43,"Mohave County, Arizona"
4,017,3.08,"Navajo County, Arizona"
4,019,2.49,"Pima County, Arizona"
4,021,2.87,"Pinal County, Arizona"
4,023,3.04,"Santa Cruz County, Arizona"
4,025,2.3,"Yavapai County, Arizona"
4,027,2.77,"Yuma County, Arizona"
6,001,2.78,"Alameda County, California"
6,003,3.06,"Alpine County, California"
6,005,2.36,"Amador County, California"
6,007,2.55,"Butte County, California"
6,009,2.45,"Calaveras County, California"
6,011,3.04,"Colusa County, California"
6,013,2.82,"Contra Costa County, California"
6,015,2.55,"Del Norte County, California"
6,017,2.69,"El Dorado County, California"
6,019,3.17,"Fresno County, California"
6,021,2.92,"Glenn County, California"
6,023,2.47,"Humboldt County, California"
6,025,3.61,"Imperial County, California"
6,027,2.23,"Inyo County, California"
6,029,3.21,"Kern County, California"
6,031,3.19,"Kings County, California"
6,033,2.34,"Lake County, California"
6,035,2.24,"Lassen County, California"
6,037,3.02,"Los Angeles County, California"
6,039,3.35,"Madera County, California"
6,041,2.41,"Marin County, California"
6,043,2.29,"Mariposa County, California"
6,045,2.51,"Mendocino County, California"
6,047,3.32,"Merced County, California"
6,049,2.32,"Modoc County, California"
6,051,2.82,"Mono County, California"
6,053,3.26,"Monterey County, California"
6,055,2.74,"Napa County, California"
6,057,2.38,"Nevada County, California"
6,059,3.04,"Orange County, California"
6,061,2.67,"Placer County, California"
6,063,2.26,"Plumas County, California"
6,065,3.24,"Riverside County, California"
6,067,2.76,"Sacramento County, California"
6,069,3.33,"San Benito County, California"
6,071,3.33,"San Bernardino County, California"
6,073,2.86,"San Diego County, California"
6,075,2.32,"San Francisco County, California"
6,077,3.16,"San Joaquin County, California"
6,079,2.51,"San Luis Obispo County, California"
6,081,2.85,"San Mateo County, California"
6,083,2.92,"Santa Barbara County, California"
6,085,2.95,"Santa Clara County, California"
6,087,2.72,"Santa Cruz County, California"
6,089,2.54,"Shasta County, California"
6,091,2.38,"Sierra County, California"
6,093,2.26,"Siskiyou County, California"
6,095,2.89,"Solano County, California"
6,097,2.59,"Sonoma County, California"
6,099,3.08,"Stanislaus County, California"
6,101,2.95,"Sutter County, California"
6,103,2.63,"Tehama County, California"
6,105,2.38,"Trinity County, California"
6,107,3.36,"Tulare County, California"
6,109,2.28,"Tuolumne County, California"
6,111,3.08,"Ventura County, California"
6,113,2.77,"Yolo County, California"
6,115,2.87,"Yuba County, California"
8,001,2.98,"Adams County, Colorado"
8,003,2.56,"Alamosa County, Colorado"
8,005,2.63,"Arapahoe County, Colorado"
8,007,2.25,"Archuleta County, Colorado"
8,009,2.3,"Baca County, Colorado"
8,011,2.19,"Bent County, Colorado"
8,013,2.45,"Boulder County, Colorado"
8,014,2.57,"Broomfield County, Colorado"
8,015,2.21,"Chaffee County, Colorado"
8,017,2.63,"Cheyenne County, Colorado"
8,019,2.13,"Clear Creek County, Colorado"
8,021,2.78,"Conejos County, Colorado"
8,023,2.46,"Costilla County, Colorado"
8,025,3.78,"Crowley County, Colorado"
8,027,2.15,"Custer County, Colorado"
8,029,2.41,"Delta County, Colorado"
8,031,2.3,"Denver County, Colorado"
8,033,2.64,"Dolores County, Colorado"
8,035,2.76,"Douglas County, Colorado"
8,037,2.94,"Eagle County, Colorado"
8,039,2.82,"Elbert County, Colorado"
8,041,2.6,"El Paso County, Colorado"
8,043,2.21,"Fremont County, Colorado"
8,045,2.72,"Garfield County, Colorado"
8,047,2.14,"Gilpin County, Colorado"
8,049,2.69,"Grand County, Colorado"
8,051,2.34,"Gunnison County, Colorado"
8,053,2.18,"Hinsdale County, Colorado"
8,055,2.08,"Huerfano County, Colorado"
8,057,2.15,"Jackson County, Colorado"
8,059,2.44,"Jefferson County, Colorado"
8,061,2.45,"Kiowa County, Colorado"
8,063,2.35,"Kit Carson County, Colorado"
8,065,2.38,"Lake County, Colorado"
8,067,2.38,"La Plata County, Colorado"
8,069,2.47,"Larimer County, Colorado"
8,071,2.36,"Las Animas County, Colorado"
8,073,2.24,"Lincoln County, Colorado"
8,075,2.61,"Logan County, Colorado"
8,077,2.43,"Mesa County, Colorado"
8,079,1.91,"Mineral County, Colorado"
8,081,2.6,"Moffat County, Colorado"
8,083,2.44,"Montezuma County, Colorado"
8,085,2.4,"Montrose County, Colorado"
8,087,2.67,"Morgan County, Colorado"
8,089,2.42,"Otero County, Colorado"
8,091,2.31,"Ouray County, Colorado"
8,093,2.2,"Park County, Colorado"
8,095,2.52,"Phillips County, Colorado"
8,097,2.28,"Pitkin County, Colorado"
8,099,2.44,"Prowers County, Colorado"
8,101,2.49,"Pueblo County, Colorado"
8,103,2.48,"Rio Blanco County, Colorado"
8,105,2.49,"Rio Grande County, Colorado"
8,107,2.46,"Routt County, Colorado"
8,109,2.39,"Saguache County, Colorado"
8,111,2.15,"San Juan County, Colorado"
8,113,2.31,"San Miguel County, Colorado"
8,115,2.44,"Sedgwick County, Colorado"
8,117,2.82,"Summit County, Colorado"
8,119,2.42,"Teller County, Colorado"
8,121,2.3,"Washington County, Colorado"
8,123,2.8,"Weld County, Colorado"
8,125,2.6,"Yuma County, Colorado"
9,001,2.76,"Fairfield County, Connecticut"
9,003,2.51,"Hartford County, Connecticut"
9,005,2.46,"Litchfield County, Connecticut"
9,007,2.4,"Middlesex County, Connecticut"
9,009,2.56,"New Haven County, Connecticut"
9,011,2.45,"New London County, Connecticut"
9,013,2.49,"Tolland County, Connecticut"
9,015,2.53,"Windham County, Connecticut"
11,001,2.22,"District of Columbia, District of Columbia"
10,001,2.71,"Kent County, Delaware"
10,003,2.63,"New Castle County, Delaware"
10,005,2.52,"Sussex County, Delaware"
12,001,2.46,"Alachua County, Florida"
12,003,3.0,"Baker County, Florida"
12,005,2.54,"Bay County, Florida"
12,007,2.72,"Bradford County, Florida"
12,009,2.46,"Brevard County, Florida"
12,011,2.73,"Broward County, Florida"
12,013,2.64,"Calhoun County, Florida"
12,015,2.26,"Charlotte County, Florida"
12,017,2.25,"Citrus County, Florida"
12,019,2.84,"Clay County, Florida"
12,021,2.59,"Collier County, Florida"
12,023,2.66,"Columbia County, Florida"
12,027,2.78,"DeSoto County, Florida"
12,029,2.41,"Dixie County, Florida"
12,031,2.58,"Duval County, Florida"
12,033,2.53,"Escambia County, Florida"
12,035,2.71,"Flagler County, Florida"
12,037,2.24,"Franklin County, Florida"
12,039,2.53,"Gadsden County, Florida"
12,041,2.54,"Gilchrist County, Florida"
12,043,3.04,"Glades County, Florida"
12,045,2.52,"Gulf County, Florida"
12,047,2.35,"Hamilton County, Florida"
12,049,3.33,"Hardee County, Florida"
12,051,3.18,"Hendry County, Florida"
12,053,2.45,"Hernando County, Florida"
12,055,2.39,"Highlands County, Florida"
12,057,2.64,"Hillsborough County, Florida"
12,059,2.6,"Holmes County, Florida"
12,061,2.44,"Indian River County, Florida"
12,063,2.52,"Jackson County, Florida"
12,065,2.17,"Jefferson County, Florida"
12,067,2.81,"Lafayette County, Florida"
12,069,2.57,"Lake County, Florida"
12,071,2.59,"Lee County, Florida"
12,073,2.43,"Leon County, Florida"
12,075,2.53,"Levy County, Florida"
12,077,2.77,"Liberty County, Florida"
12,079,2.52,"Madison County, Florida"
12,081,2.52,"Manatee County, Florida"
12,083,2.48,"Marion County, Florida"
12,085,2.39,"Martin County, Florida"
12,086,3.08,"Miami-Dade County, Florida"
12,087,2.55,"Monroe County, Florida"
12,089,2.66,"Nassau County, Florida"
12,091,2.5,"Okaloosa County, Florida"
12,093,2.77,"Okeechobee County, Florida"
12,095,2.75,"Orange County, Florida"
12,097,3.23,"Osceola County, Florida"
12,099,2.54,"Palm Beach County, Florida"
12,101,2.53,"Pasco County, Florida"
12,103,2.27,"Pinellas County, Florida"
12,105,2.77,"Polk County, Florida"
12,107,2.57,"Putnam County, Florida"
12,109,2.62,"St. Johns County, Florida"
12,111,2.64,"St. Lucie County, Florida"
12,113,2.65,"Santa Rosa County, Florida"
12,115,2.21,"Sarasota County, Florida"
12,117,2.85,"Seminole County, Florida"
12,119,2.05,"Sumter County, Florida"
12,121,2.69,"Suwannee County, Florida"
12,123,2.44,"Taylor County, Florida"
12,125,2.58,"Union County, Florida"
12,127,2.46,"Volusia County, Florida"
12,129,2.57,"Wakulla County, Florida"
12,131,2.45,"Walton County, Florida"
12,133,2.66,"Washington County, Florida"
13,001,2.63,"Appling County, Georgia"
13,003,2.98,"Atkinson County, Georgia"
13,005,2.71,"Bacon County, Georgia"
13,007,2.55,"Baker County, Georgia"
13,009,2.62,"Baldwin County, Georgia"
13,011,2.8,"Banks County, Georgia"
13,013,3.05,"Barrow County, Georgia"
13,015,2.81,"Bartow County, Georgia"
13,017,2.68,"Ben Hill County, Georgia"
13,019,2.71,"Berrien County, Georgia"
13,021,2.59,"Bibb County, Georgia"
13,023,2.71,"Bleckley County, Georgia"
13,025,2.79,"Brantley County, Georgia"
13,027,2.37,"Brooks County, Georgia"
13,029,2.89,"Bryan County, Georgia"
13,031,2.54,"Bulloch County, Georgia"
13,033,2.81,"Burke County, Georgia"
13,035,2.7,"Butts County, Georgia"
13,037,2.13,"Calhoun County, Georgia"
13,039,2.68,"Camden County, Georgia"
13,043,2.75,"Candler County, Georgia"
13,045,2.72,"Carroll County, Georgia"
13,047,2.71,"Catoosa County, Georgia"
13,049,3.32,"Charlton County, Georgia"
13,051,2.55,"Chatham County, Georgia"
13,053,3.24,"Chattahoochee County, Georgia"
13,055,2.49,"Chattooga County, Georgia"
13,057,2.84,"Cherokee County, Georgia"
13,059,2.55,"Clarke County, Georgia"
13,061,2.57,"Clay County, Georgia"
13,063,2.97,"Clayton County, Georgia"
13,065,2.49,"Clinch County, Georgia"
13,067,2.64,"Cobb County, Georgia"
13,069,2.73,"Coffee County, Georgia"
13,071,2.86,"Colquitt County, Georgia"
13,073,2.98,"Columbia County, Georgia"
13,075,2.74,"Cook County, Georgia"
13,077,2.73,"Coweta County, Georgia"
13,079,2.72,"Crawford County, Georgia"
13,081,2.64,"Crisp County, Georgia"
13,083,2.47,"Dade County, Georgia"
13,085,2.74,"Dawson County, Georgia"
13,087,2.46,"Decatur County, Georgia"
13,089,2.63,"DeKalb County, Georgia"
13,091,2.35,"Dodge County, Georgia"
13,093,2.52,"Dooly County, Georgia"
13,095,2.52,"Dougherty County, Georgia"
13,097,2.87,"Douglas County, Georgia"
13,099,2.62,"Early County, Georgia"
13,101,2.86,"Echols County, Georgia"
13,103,2.95,"Effingham County, Georgia"
13,105,2.49,"Elbert County, Georgia"
13,107,2.68,"Emanuel County, Georgia"
13,109,2.6,"Evans County, Georgia"
13,111,2.48,"Fannin County, Georgia"
13,113,2.8,"Fayette County, Georgia"
13,115,2.64,"Floyd County, Georgia"
13,117,3.14,"Forsyth County, Georgia"
13,119,2.54,"Franklin County, Georgia"
13,121,2.5,"Fulton County, Georgia"
13,123,2.58,"Gilmer County, Georgia"
13,125,2.67,"Glascock County, Georgia"
13,127,2.49,"Glynn County, Georgia"
13,129,2.83,"Gordon County, Georgia"
13,131,2.7,"Grady County, Georgia"
13,133,2.4,"Greene County, Georgia"
13,135,3.12,"Gwinnett County, Georgia"
13,137,2.74,"Habersham County, Georgia"
13,139,3.0,"Hall County, Georgia"
13,141,2.49,"Hancock County, Georgia"
13,143,2.63,"Haralson County, Georgia"
13,145,2.79,"Harris County, Georgia"
13,147,2.48,"Hart County, Georgia"
13,149,2.65,"Heard County, Georgia"
13,151,3.0,"Henry County, Georgia"
13,153,2.72,"Houston County, Georgia"
13,155,2.71,"Irwin County, Georgia"
13,157,2.88,"Jackson County, Georgia"
13,159,2.61,"Jasper County, Georgia"
13,161,2.75,"Jeff Davis County, Georgia"
13,163,2.61,"Jefferson County, Georgia"
13,165,2.53,"Jenkins County, Georgia"
13,167,2.8,"Johnson County, Georgia"
13,169,2.76,"Jones County, Georgia"
13,171,2.62,"Lamar County, Georgia"
13,173,2.72,"Lanier County, Georgia"
13,175,2.65,"Laurens County, Georgia"
13,177,2.76,"Lee County, Georgia"
13,179,2.72,"Liberty County, Georgia"
13,181,2.23,"Lincoln County, Georgia"
13,183,3.27,"Long County, Georgia"
13,185,2.78,"Lowndes County, Georgia"
13,187,2.66,"Lumpkin County, Georgia"
13,189,2.61,"McDuffie County, Georgia"
13,191,2.63,"McIntosh County, Georgia"
13,193,2.62,"Macon County, Georgia"
13,195,2.75,"Madison County, Georgia"
13,197,2.83,"Marion County, Georgia"
13,199,2.65,"Meriwether County, Georgia"
13,201,2.42,"Miller County, Georgia"
13,205,2.55,"Mitchell County, Georgia"
13,207,2.68,"Monroe County, Georgia"
13,209,2.62,"Montgomery County, Georgia"
13,211,2.76,"Morgan County, Georgia"
13,213,2.75,"Murray County, Georgia"
13,215,2.61,"Muscogee County, Georgia"
13,217,2.92,"Newton County, Georgia"
13,219,2.88,"Oconee County, Georgia"
13,221,2.63,"Oglethorpe County, Georgia"
13,223,2.99,"Paulding County, Georgia"
13,225,2.5,"Peach County, Georgia"
13,227,2.61,"Pickens County, Georgia"
13,229,2.72,"Pierce County, Georgia"
13,231,2.92,"Pike County, Georgia"
13,233,2.78,"Polk County, Georgia"
13,235,2.55,"Pulaski County, Georgia"
13,237,2.49,"Putnam County, Georgia"
13,239,2.29,"Quitman County, Georgia"
13,241,2.34,"Rabun County, Georgia"
13,243,2.54,"Randolph County, Georgia"
13,245,2.68,"Richmond County, Georgia"
13,247,2.91,"Rockdale County, Georgia"
13,249,2.7,"Schley County, Georgia"
13,251,2.61,"Screven County, Georgia"
13,253,2.62,"Seminole County, Georgia"
13,255,2.76,"Spalding County, Georgia"
13,257,2.7,"Stephens County, Georgia"
13,259,2.48,"Stewart County, Georgia"
13,261,2.58,"Sumter County, Georgia"
13,263,2.43,"Talbot County, Georgia"
13,265,2.42,"Taliaferro County, Georgia"
13,267,2.46,"Tattnall County, Georgia"
13,269,2.39,"Taylor County, Georgia"
13,271,2.37,"Telfair County, Georgia"
13,273,2.68,"Terrell County, Georgia"
13,275,2.53,"Thomas County, Georgia"
13,277,2.76,"Tift County, Georgia"
13,279,2.5,"Toombs County, Georgia"
13,281,2.34,"Towns County, Georgia"
13,283,2.38,"Treutlen County, Georgia"
13,285,2.73,"Troup County, Georgia"
13,287,2.63,"Turner County, Georgia"
13,289,2.79,"Twiggs County, Georgia"
13,291,2.54,"Union County, Georgia"
13,293,2.55,"Upson County, Georgia"
13,295,2.59,"Walker County, Georgia"
13,297,2.88,"Walton County, Georgia"
13,299,2.39,"Ware County, Georgia"
13,301,2.58,"Warren County, Georgia"
13,303,2.64,"Washington County, Georgia"
13,305,2.77,"Wayne County, Georgia"
13,307,2.56,"Webster County, Georgia"
13,309,2.16,"Wheeler County, Georgia"
13,311,2.42,"White County, Georgia"
13,313,2.96,"Whitfield County, Georgia"
13,315,2.52,"Wilcox County, Georgia"
13,317,2.45,"Wilkes County, Georgia"
13,319,2.8,"Wilkinson County, Georgia"
13,321,2.65,"Worth County, Georgia"
15,001,2.9,"Hawaii County, Hawaii"
15,003,3.06,"Honolulu County, Hawaii"
15,005,1.37,"Kalawao County, Hawaii"
15,007,3.07,"Kauai County, Hawaii"
15,009,2.96,"Maui County, Hawaii"
19,001,2.25,"Adair County, Iowa"
19,003,2.18,"Adams County, Iowa"
19,005,2.26,"Allamakee County, Iowa"
19,007,2.28,"Appanoose County, Iowa"
19,009,2.15,"Audubon County, Iowa"
19,011,2.51,"Benton County, Iowa"
19,013,2.42,"Black Hawk County, Iowa"
19,015,2.37,"Boone County, Iowa"
19,017,2.45,"Bremer County, Iowa"
19,019,2.5,"Buchanan County, Iowa"
19,021,2.55,"Buena Vista County, Iowa"
19,023,2.37,"Butler County, Iowa"
19,025,2.19,"Calhoun County, Iowa"
19,027,2.36,"Carroll County, Iowa"
19,029,2.18,"Cass County, Iowa"
19,031,2.37,"Cedar County, Iowa"
19,033,2.17,"Cerro Gordo County, Iowa"
19,035,2.14,"Cherokee County, Iowa"
19,037,2.27,"Chickasaw County, Iowa"
19,039,2.43,"Clarke County, Iowa"
19,041,2.27,"Clay County, Iowa"
19,043,2.3,"Clayton County, Iowa"
19,045,2.36,"Clinton County, Iowa"
19,047,2.64,"Crawford County, Iowa"
19,049,2.69,"Dallas County, Iowa"
19,051,2.73,"Davis County, Iowa"
19,053,2.38,"Decatur County, Iowa"
19,055,2.48,"Delaware County, Iowa"
19,057,2.36,"Des Moines County, Iowa"
19,059,2.14,"Dickinson County, Iowa"
19,061,2.41,"Dubuque County, Iowa"
19,063,2.23,"Emmet County, Iowa"
19,065,2.31,"Fayette County, Iowa"
19,067,2.28,"Floyd County, Iowa"
19,069,2.42,"Franklin County, Iowa"
19,071,2.36,"Fremont County, Iowa"
19,073,2.3,"Greene County, Iowa"
19,075,2.37,"Grundy County, Iowa"
19,077,2.34,"Guthrie County, Iowa"
19,079,2.36,"Hamilton County, Iowa"
19,081,2.33,"Hancock County, Iowa"
19,083,2.37,"Hardin County, Iowa"
19,085,2.37,"Harrison County, Iowa"
19,087,2.43,"Henry County, Iowa"
19,089,2.39,"Howard County, Iowa"
19,091,2.28,"Humboldt County, Iowa"
19,093,2.24,"Ida County, Iowa"
19,095,2.34,"Iowa County, Iowa"
19,097,2.29,"Jackson County, Iowa"
19,099,2.41,"Jasper County, Iowa"
19,101,2.24,"Jefferson County, Iowa"
19,103,2.37,"Johnson County, Iowa"
19,105,2.34,"Jones County, Iowa"
19,107,2.33,"Keokuk County, Iowa"
19,109,2.23,"Kossuth County, Iowa"
19,111,2.4,"Lee County, Iowa"
19,113,2.42,"Linn County, Iowa"
19,115,2.58,"Louisa County, Iowa"
19,117,2.34,"Lucas County, Iowa"
19,119,2.57,"Lyon County, Iowa"
19,121,2.48,"Madison County, Iowa"
19,123,2.41,"Mahaska County, Iowa"
19,125,2.43,"Marion County, Iowa"
19,127,2.6,"Marshall County, Iowa"
19,129,2.63,"Mills County, Iowa"
19,131,2.41,"Mitchell County, Iowa"
19,133,2.19,"Monona County, Iowa"
19,135,2.37,"Monroe County, Iowa"
19,137,2.22,"Montgomery County, Iowa"
19,139,2.59,"Muscatine County, Iowa"
19,141,2.28,"O'Brien County, Iowa"
19,143,2.28,"Osceola County, Iowa"
19,145,2.34,"Page County, Iowa"
19,147,2.23,"Palo Alto County, Iowa"
19,149,2.45,"Plymouth County, Iowa"
19,151,2.18,"Pocahontas County, Iowa"
19,153,2.5,"Polk County, Iowa"
19,155,2.48,"Pottawattamie County, Iowa"
19,157,2.31,"Poweshiek County, Iowa"
19,159,2.4,"Ringgold County, Iowa"
19,161,2.25,"Sac County, Iowa"
19,163,2.46,"Scott County, Iowa"
19,165,2.32,"Shelby County, Iowa"
19,167,2.73,"Sioux County, Iowa"
19,169,2.35,"Story County, Iowa"
19,171,2.51,"Tama County, Iowa"
19,173,2.23,"Taylor County, Iowa"
19,175,2.3,"Union County, Iowa"
19,177,2.49,"Van Buren County, Iowa"
19,179,2.38,"Wapello County, Iowa"
19,181,2.54,"Warren County, Iowa"
19,183,2.43,"Washington County, Iowa"
19,185,2.41,"Wayne County, Iowa"
19,187,2.27,"Webster County, Iowa"
19,189,2.2,"Winnebago County, Iowa"
19,191,2.24,"Winneshiek County, Iowa"
19,193,2.58,"Woodbury County, Iowa"
19,195,2.35,"Worth County, Iowa"
19,197,2.31,"Wright County, Iowa"
16,001,2.61,"Ada County, Idaho"
16,003,2.39,"Adams County, Idaho"
16,005,2.67,"Bannock County, Idaho"
16,007,2.51,"Bear Lake County, Idaho"
16,009,2.45,"Benewah County, Idaho"
16,011,3.07,"Bingham County, Idaho"
16,013,2.35,"Blaine County, Idaho"
16,015,2.29,"Boise County, Idaho"
16,017,2.36,"Bonner County, Idaho"
16,019,2.9,"Bonneville County, Idaho"
16,021,2.55,"Boundary County, Idaho"
